Rank,Candidate Name,Current Title,Current Company,Years Experience,Source Type,Avg Skill Rating,Avg Overall Interview,Avg Cultural Fit,Experience Score,Skill Score,Overall Score,Recommendation
1,Nicole Walker,VP Sales,Dollar General,24,Internal Talent Pool,5.778,8.2,8.1,0.875,0.773,0.724,Strong Hire
2,Patricia Wilson,SVP Merchandising,Sharper Image,24,Direct Outreach,8.1,8.3,7.8,0.792,0.0,0.72,Strong Hire
3,Gregory Martin,SVP Digital Commerce,Farfetch,21,Professional Network,8.556,8.5,8.154,0.875,0.0,0.333,Strong Hire
4,Paul Morgan,SVP Sales & Marketing,REI,24,Executive Recruiter (Contingent),7.389,7.9,7.0,0.833,0.819,0.711,Hire / Backup
5,William Moore,SVP Market Development,Hobby Lobby,24,Executive Recruiter (Retained),8.111,8.2,9.0,0.625,0.779,0.317,Hire / Backup
6,Matthew Walker,Director Commercial Excellence,Target Corporation,24,Industry Conference,8.244,7.923,8.0,0.5,0.843,0.908,Hire / Backup
7,Rachel Moore,SVP Business Development,CVS Health,19,Internal Talent Pool,9.444,7.917,8.154,0.75,0.849,0.834,Hire / Backup
8,Anthony Jackson,SVP Business Development,Crate and Barrel,23,LinkedIn Direct Sourcing,7.111,7.4,,0.833,0.84,0.781,Hire / Backup
9,Stephanie Rivera,Chief Commercial Officer,Farfetch,21,Internal Talent Pool,5.333,8.0,7.4,0.75,0.84,0.854,Do Not Proceed
10,Emily Torres,Chief Growth Officer,Gilt,22,Investor Introduction,8.509,9.0,9.0,1.0,0.93,0.758,Do Not Proceed
11,Frank Wood,SVP Sales & Marketing,ASOS,22,Alumni Network,8.556,7.0,,1.0,0.0,0.701,Do Not Proceed
12,Rebecca Phillips,Chief Revenue Officer,Walgreens,21,Alumni Network,,,,0.917,0.988,0.873,Do Not Proceed
13,James Ward,VP Revenue Strategy,CVS Health,22,Executive Recruiter (Retained),7.6,8.0,,0.583,0.0,0.864,Do Not Proceed
14,Jerry Wood,VP Commercial Strategy,Urban Outfitters,21,Direct Outreach,8.139,7.0,,1.0,0.875,0.791,Do Not Proceed
15,Jason Lewis,SVP Digital Commerce,Amazon Retail,22,Alumni Network,8.188,,,0.833,0.857,0.383,Do Not Proceed
